工程名称(编号):  中新科技城241A地块       (2009-K-255)
建设单位:        
孔号,深度,I,II,III,IV,V,VI
(2008-K-206)J1,0~10m,8.90,0.10,1.00,0.00,0.00,0.00
(2008-K-206)J1,10~20m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,20~30m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,30~40m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,40~50m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,50~60m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,60~80m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,80~100m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,100~120m,0.00,19.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J1,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,0~10m,7.10,1.60,1.30,0.00,0.00,0.00
(2008-K-206)J2,10~20m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,20~30m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,30~40m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,40~50m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,50~60m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,60~80m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,80~100m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,100~120m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,120~140m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J2,140~160m,0.00,0.50,0.00,0.00,0.00,0.00
(2008-K-206)J3,0~10m,7.70,1.30,1.00,0.00,0.00,0.00
(2008-K-206)J3,10~20m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,20~30m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,30~40m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,40~50m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,50~60m,0.00,10.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,60~80m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,80~100m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,100~120m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,120~140m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J3,140~160m,0.00,20.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,0~10m,8.30,0.70,1.00,0.00,0.00,0.00
(2008-K-206)J4,10~20m,2.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J4,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,0~10m,8.30,0.70,1.00,0.00,0.00,0.00
(2008-K-206)J5,10~20m,2.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
(2008-K-206)J5,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J1,0~10m,3.00,7.00,0.00,0.00,0.00,0.00
J1,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J1,20~30m,2.00,2.30,0.00,0.00,0.00,0.00
J1,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J1,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J1,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J1,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J1,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J1,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J1,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
